epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,571.567,1.60741,2.07427,1.428,0.48735,0.42109,0.41973,0.22077,1.64283,2.08579,1.49857,0.0006633,0.0006633,0.0006633
2,1515.01,1.63073,1.76491,1.43065,0.48192,0.4089,0.40513,0.21073,1.72318,2.04751,1.63117,0.00130363,0.00130363,0.00130363
3,2343.47,1.61589,1.64467,1.42892,0.56764,0.5114,0.50441,0.25841,1.65975,1.79153,1.50812,0.00191757,0.00191757,0.00191757
4,3204.83,1.60027,1.591,1.42793,0.5959,0.54663,0.56531,0.29034,1.67923,2.07935,1.5515,0.0018812,0.0018812,0.0018812
